production_companies,revenue,cantidad_peliculas
Animal Planet,4135318.5,10
Animationwerks,4670277.333333333,3
Animus Films,2823018.1333333333,11
Aniplex,3399775.8571428573,68
Anka Film,18639243.833333336,15
Ankor-Film,17296059.0,2
Annapurna Pictures,391040970.4166666,58
Anonymous Content,250413416.4888889,151
Anonymous Films Ltd.,66542.0,5
Antares Produzione Cinematografica,7028264.0,4
Antena 3 Films,19124013.709090907,73
Antena 3 Televisión,31762169.272727273,44
Antidote Films,3062586.5,12
Antidote Films (I),6131548.0,17
Antietam Filmworks,4307978.666666667,3
Antoinine Green Bridge,12375.25,4
Anton Capital Entertainment (ACE),116023190.31673881,67
Anurag Kashyap Films,2050000.0,4
Anvil Films,31182883.5,8
Anwar Rasheed Entertainment,11650000.0,3
Apache Films,561274.3333333334,6
Apaches Entertainment,31693650.111111112,49
Apatow Productions,920176738.6,70
Aperture Entertainment,87641880.89285713,19
Apipoulaï,17969990.916666664,21
Apjac International,4422297.5,2
Apollo Associates,385066.0,2
Apollo Media,50920.333333333336,12
Apollo Pictures,10541277.666666666,6
ApolloMedia Distribution,10413569.611111112,82
ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),4401412.444444444,21
ApolloProMovie,837742.0,9
ApolloProMovie & Co. 3. Filmproduktion,2922.6666666666665,3
ApolloProScreen Filmproduktion,12301257.625,16
Apostle,250.0,16
Apostle Productions,111300.0,1
Apotheosis Media Group,11428729.666666666,6
Appaloosa Films,2145.2727272727275,15
Apparatus Productions,76210523.74025974,18
Appian Way,323645184.7079365,69
Applause Bhansali Productions,244364.66666666666,3
Applause Entertainment Ltd.,244364.66666666666,3
Applause Pictures,808333.3333333334,20
Applecross,32864420.5,4
Appleseed Film Partners,182748.625,8
Applied Action,4239896.5,2
Apulia Film Commission,1509355.6666666667,62
Aquarius Films,29302178.8,26
Arachnid Productions Ltd.,17000000.0,1
Arad Productions,15436538.272727273,11
Aramid Entertainment Fund,10214858.444444444,70
Arc Entertainment,3903479.0,9
Arc Productions,57387811.1,13
Arcade Pictures,30388246.333333332,10
Arcadia Motion Pictures,71411.72243589743,79
Archer Gray,8302111.6,23
Archer Street Productions,14207133.5,22
Archery Pictures,500086.4285714286,7
Arches Films,117967.85714285714,25
Archipel 33,500672.36363636365,11
Archipel 35,505569.15934065933,99
Arcola Pictures,6840000.0,10
Arcturus Motion Pictures,19111855.0,4
Ardustry Entertainment,110908646.5,8
Argonaut Pictures,8429.0,5
Argos Films,1571273.8333333335,74
Argosy Pictures,1420500.0,17
Argyle Enterprises,95404762.0,5
Aria Productions,33847.666666666664,3
