director,return_total
Christopher Coppola,1.8e-06
Christopher Crowe,0.6035029166666667
Christopher Erskin,2.598293
Christopher Guest,3.6103690166666667
Christopher McQuarrie,10.437924686470588
Christopher Nolan,44.42255888764904
Christopher Spencer,3.081821090909091
Chu Yen-ping,2.2896728
Chuck Russell,29.857490370114416
Chuck Sheetz,4.446085
Ciaran Foy,5.2882018
Ciro Guerra,0.9428607142857143
Clare Kilner,3.1450025333333333
Clarence Brown,4.817496555704498
Clark Gregg,1.2767123333333332
Clark Johnson,2.756714258333333
Claude Barras,0.036534875
Claudia Llosa,0.00663575
Clint Eastwood,120.0881553711371
Clive Barker,15.369695545454546
"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",112.74475412931035
"Clyde Geronimi, Wolfgang Reitherman, Les Clark, Eric Larson",8.5
"Cody Cameron, Kris Pearn",3.184418217948718
Colin Higgins,1.9914753428571428
"Colin Strause, Greg Strause",7.727030249999999
Colin Trevorrow,15.855868333333333
Conor McMahon,0.95
"Conrad Vernon, Eric Darnell, Tom McGrath",5.1511812
"Conrad Vernon, Greg Tiernan",7.405543263157894
"Conrad Vernon, Rob Letterman",2.1800564
Corey Yuen Kwai,0.022872095238095237
Corneliu Porumboiu,0.044336123962693694
"Cory Edwards, Todd Edwards, Tony Leech",3.4035858
Costa-Gavras,0.21083046
Courtney Solomon,1.0173050285714287
Craig Brewer,6.3200276083333335
Craig Clyde,5.333333333333333
Craig Gillespie,4.5906962295098035
Craig Mazin,0.7391952571428572
Craig McCracken,1.1411644
Craig R. Baxley,4.212339428571429
Cristian Mungiu,1.5627399846746666
Curtis Hanson,16.55262368810864
Cy Endfield,2.2857142857142856
Cyrus Nowrasteh,0.35083248648648646
Cédric Klapisch,3.800084457795432
D.J. Caruso,17.440701749941642
D.W. Griffith,110.0
DJ Pooh,2.9613329999999998
Daisy von Scherler Mayer,3.766592641025641
Damien Chazelle,18.815129393939394
Damien O'Donnell,7.421052631578948
Dan Aykroyd,0.211994825
Dan Bradley,0.6893351230769231
"Dan Cutforth, Jane Lipsitz",2.7272463333333334
Dan Fogelman,1.0835752
Dan Gilroy,4.552613764705883
Dan Ireland,2.294604
"Dan Kwan, Daniel Scheinert",1.4034846666666667
Dan Mazer,8.180263304347825
Dan O'Bannon,3.55925
